courses,average_rating,name,slug,num_courses,num_reviews,sentiment
"['MATH437', 'MATH241', 'MATH462', 'MATH463', 'MATH246', 'MATH406', 'MATH401', 'HLTH710', 'MATH410', 'STAT386', 'MATH406', 'MATH411', 'MATH461', 'MATH463', 'STAT386', 'MATH406', 'MATH463', 'STAT386', 'MATH246', 'MATH463', 'STAT386']",4.4,Antoine Mellet,mellet,21,65,0.4413935156968924
"['CMSC330', 'CMSC216', 'CMSC132', 'CMSC433', 'CMSC388C', 'CMSC389N', 'CMSC389E', 'CMSC388A', 'CMSC388B', 'CMSC388T', 'CMSC389T', 'CMSC330', 'CMSC433', 'CMSC330', 'CMSC132', 'CMSC330', 'CMSC433']",3.8,Anwar Mamat,mamat,17,50,0.1241731333732605
"['GEMS297', 'CMSC651', 'GEMS396', 'GEMS397', 'GEMS296', 'GEMS496', 'CMSC287', 'GEMS497', 'CMSC858L', 'CMSC798', 'CMSC420', 'CMSC454', 'CMSC454', 'CMSC451', 'CMSC858C', 'CMSC454', 'CMSC858A']",3.7857,Aravind Srinivasan,srinivasan,17,14,0.3785940706729889
"['ENEE420', 'ENEE324H', 'ENEE621', 'ENEE222', 'ENEE425', 'ENEE620', 'ENEE324', 'ENEE634', 'ENEE324', 'ENEE634', 'ENEE425', 'ENEE625']",1.9,Armand Makowski,makowski,12,10,-0.7991855561733245
"['HIST326', 'HIST408M', 'HIST110', 'HIST619I', 'HIST319J', 'HIST325', 'HIST408I', 'HIST639T', 'HIST324', 'HIST319C']",2.4,Arthur Eckstein,eckstein,10,10,-0.620016461610794
['HACS287'],2.2353,Arthur Johnson,johnson_arthur,1,17,-0.8734421694979948
"['CMSC417', 'CMSC818G', 'ENES603', 'GEMS296', 'CMSC498Z', 'CMSC798', 'GEMS396', 'GEMS297', 'CMSC412', 'GEMS397', 'CMSC388G', 'GEMS496', 'GEMS497', 'ENES601', 'ENES602', 'CMSC412', 'ENES602', 'CMSC412', 'CMSC412', 'CMSC818G', 'CMSC412']",2.25,Ashok Agrawala,agrawala,21,16,-0.7480248920619488
"['BMGT301', 'BUSI785', 'BMGT485F', 'BUDT758J', 'BUDT758M', 'BMGT499D', 'BUDT706', 'BULM758J', 'BUSM750', 'ENTS673', 'BULM735']",3.0,Barnet Corwin,corwin,11,10,-0.20012084245681763
"['PHYS420', 'PHYS171', 'PHYS270', 'PHYS475', 'PHYS675', 'PHYS779A', 'PHYS274', 'HLTH672', 'HLTH710', 'PHYS371', 'PHYS371', 'PHYS420', 'PHYS420', 'PHYS420', 'PHYS161', 'PHYS260']",2.8333,Bei Lok Hu,hu_bei-lok,16,12,-0.3548767815033595
"['MATH110', 'MATH010', 'MATH015', 'MATH115', 'MATH120', 'HLTH710', 'MATH015', 'MATH115', 'MATH015', 'MATH115', 'MATH015', 'MATH115', 'MATH015', 'MATH015', 'MATH115', 'MATH015']",2.0556,Ben Bezejouh,bezejouh,16,18,-0.5593942238224877
"['HHUM106', 'HIST135', 'HIST408Q', 'HIST140', 'HIST476', 'JWST600', 'HIST283', 'HIST283H', 'HIST299C', 'HIST408C', 'JWST409C', 'HIST282', 'HIST601', 'FIRE156', 'HIST286', 'HIST419T', 'HIST287', 'JWST409L', 'HIST608T', 'JWST289T', 'JWST432', 'RELS289T', 'ISRL299C', 'JWST235', 'JWST235H', 'JWST299C', 'JWST234', 'JWST275', 'JWST459D', 'JWST233', 'JWST289E', 'RELS219D', 'RELS419D', 'JWST619', 'JWST699', 'HLTH672', 'HLTH710', 'HIST135C', 'HIST187', 'JWST187', 'HIST428D', 'JWST429F', 'HIST187', 'HIST373', 'JWST187', 'JWST333', 'HIST135', 'HIST418C', 'JWST419B', 'JWST469C', 'HIST135', 'HIST601', 'JWST289E', 'HEBR498B', 'JWST469C', 'HIST135', 'HIST286', 'JWST275', 'JWST289E']",4.0,Bernard Cooperman,cooperman,59,25,0.2875224542617798
"['HACS202', 'HACS201', 'ENPM685', 'HACS201', 'HACS202', 'ENPM685', 'HACS202', 'HACS201', 'ENPM634', 'ENPM685', 'HACS201', 'HACS202', 'ENPM818P', 'HACS201', 'HACS202']",2.8182,Bertrand Sobesto,sobesto,15,11,-0.4736208373850042
